Tempo: 0.2 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.431034482759 | Aceleração: 2.15517241379
Tempo: 0.4 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 0.6 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.14367816092 | Aceleração: 0.239463601533
Tempo: 0.8 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 1.0 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0862068965517 | Aceleração: 0.0862068965517
Tempo: 1.2 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 1.4 | Dado arduino: 7.0 | Posição CM: 0.120689655172 | Velocidade: 0.0862068965517 | Aceleração: 0.0615763546798
Tempo: 1.6 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 1.8 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0478927203065 | Aceleração: 0.026607066837
Tempo: 2.0 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 2.2 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0391849529781 | Aceleração: 0.0178113422628
Tempo: 2.4 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 2.6 | Dado arduino: 7.0 | Posição CM: 0.120689655172 | Velocidade: 0.0464190981432 | Aceleração: 0.0178534992859
Tempo: 2.8 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 3.0 | Dado arduino: 7.0 | Posição CM: 0.120689655172 | Velocidade: 0.0402298850575 | Aceleração: 0.0134099616858
Tempo: 3.2 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 3.4 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.025354969574 | Aceleração: 0.00745734399236
Tempo: 3.6 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 3.8 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0226860254083 | Aceleração: 0.00597000668641
Tempo: 4.0 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 4.2 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0205254515599 | Aceleração: 0.00488701227617
Tempo: 4.4 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
Tempo: 4.6 | Dado arduino: 5.0 | Posição CM: 0.0862068965517 | Velocidade: 0.0187406296852 | Aceleração: 0.00407404993156
Tempo: 4.8 | Dado arduino: 0.0 | Posição CM: 0.0 | Velocidade: 0.0 | Aceleração: 0.0
